SRR13825328	SRR6324886	SRR9118109
16S_286821d6edda	31	0	0
23S_1197bfcff6c7	673	12	225
23S_2063e1128502	356	0	529
16S_1248ff9c1433	16	3	299
23S_27631b39fe04	4329	5	907
23S_217433994f0a	164407	3	563
23S_2211b58ee1b6	23	0	67
23S_1408a3f674d6	278	0	5386
23S_21396275ee9a	44241	2239	138196
23S_12925362a37d	2401	11	130
23S_2187ad5fd29d	6227	0	940
5S_1144b459fb4b	2	0	29
23S_2545616cd340	3	0	698
23S_2643a8edb7b7	2203	4372	362522
23S_255190bcb780	31	0	370
23S_1058253ed335	59	0	3
23S_21401a6838b6	5	0	0
16S_16936f3eda7a	33	34	52
23S_172505c05490	101	0	2728
16S_26717c1e51c1	2512	52	517
23S_24542278e944	67	0	207
23S_15207cda7f51	7	0	134
23S_1675425fb83f	29	0	1690
16S_23858fa5943e	2122	0	0
23S_2302933aabd3	2	0	4
16S_2709f10bb665	32	0	3283
23S_129338af10c3	1	4	0
16S_110249f562ad	2	2	314
23S_1750d8f50d75	3	0	1
5S_1663dde24e96	2	0	2
23S_136235502669	60209	15	589
16S_17163cd56dab	1	0	3
16S_19890f34f1e9	3726	50	33
23S_1188e2d0da78	1	9	1610
23S_2845da534ddb	4	0	1
23S_1541bf63b427	36	0	62
16S_24080e7fbf43	367983	9	1180
23S_20312dd63632	78	0	4
23S_10138f70d3c1	87	23	1
23S_1263b9a047b2	1	0	1
23S_1033acc8b471	3	0	2453
23S_2719c7e681dd	5011	0	12
23S_29124cae5dc0	326	119	914
23S_1291f9d2c8af	325	0	23
23S_2059000a0f48	57673	0	11084
16S_1863a763c7f9	4	0	510
5S_2954abd721fe	15	0	0
16S_273859126cca	160	15	0
16S_1036502a5250	17074	35	766
16S_2013c0ef909d	17	0	35
23S_22342d2db27c	53	0	17
23S_1579107f564d	6	0	1516
16S_1675ca4b36bd	11	0	7
16S_22995d612bd5	98	0	943
23S_149980a465aa	2178	8	10606
23S_234091feddc4	6	0	1
23S_1592d45f88e3	121	0	648
23S_16676a5d9380	1174	7	325
16S_272089e16120	27	0	0
23S_1447ff50a06b	161578	2	104
16S_25861ac92836	893375	2291	70612
23S_28317edfbc2b	29639	0	532
16S_2966d55a5ce4	5987	4264	361613
16S_2170906f2c51	7212	671	45358
16S_2743633a6ef8	12	0	11
23S_17808b9c0bb7	35	0	1
23S_2991a79b9faf	10	0	1
23S_2858ec10ed72	2058	0	5412
16S_2646109a36a5	3	0	183
16S_1356ee650c4b	10	0	1319
23S_1314622698de	3	0	0
16S_243578666f28	384768	1849	123227
23S_1873aa7b3287	8	0	34
16S_17243d68ab11	53	10	1591
23S_156456bd17af	33	0	0
23S_13075893f837	1	0	0
23S_11779ce0e631	24741	17	633
23S_13987f3c547d	1583	22	4608
23S_270683c26eba	67	0	207
23S_23454b82372b	17	0	3
23S_2486cd7914d7	38	0	1948
23S_252477b8efbb	23846	0	790
23S_24906c3a91fa	179	5	8
23S_2529302d0e94	215	0	1
23S_2739aa282126	5	2	1386
23S_22575716131a	1	9	1610
23S_23304f33b737	38	0	6743
16S_1022472530cb	247	0	21
23S_2498cccfb5e9	9560	12	493
23S_235362f54742	3	0	651
23S_1331bc0ffc12	13	0	0
23S_287724e09391	10	0	330
23S_149788c1f9cd	6	0	1
23S_22853e53a8b4	152	0	0
23S_2505cb1a4852	1133	0	3883
16S_18756664845f	32	0	0
23S_2187607cc5c5	622	195	39578
23S_1162a6e78650	15511	0	1532
23S_2445089efccc	1	0	1
16S_2348f8cbb5f5	204	0	0
23S_147908e27c47	1428	0	299
23S_274283822786	2	0	1
23S_1071fe805fa8	5605	0	8033
16S_1652f5cb9d6b	296	0	41
23S_1948fecf3591	1786	0	1
23S_25424b1c489c	182	10	667
23S_141798a64e70	1	8	0
23S_2899968352a2	30	0	21
23S_23842f99b59d	8	23	2645
16S_252443a9ca92	14	2	211
16S_22308bfec652	308	182	302
23S_22979049043c	56	1629	249816
5S_1573311efd4f	2	4	1
23S_1421764f9971	4	0	0
23S_29750e2212e2	123526	2533	339006
16S_2638bae119d0	143563	0	1341
23S_2901f21a5ebb	71	355	0
23S_10585fca4b3b	29	1564	243046
16S_2842bccf1759	64	0	0
23S_1947fffd051b	103282	2560	121926
23S_10175f962abb	3	6	0
16S_19660b63d96f	10	0	150
23S_1792a384a00d	1391	0	1
23S_11988e50154b	3017	1	561
16S_25671fc736fe	56	0	542
23S_2258fd22ae0c	801	6	1742
16S_2918339f26d6	1	0	0
16S_20831647c28d	101	0	50
23S_166059b35faf	947	0	267
23S_2853238f8977	41512	2	529
16S_26270636193e	2128	0	4479
23S_159403d3ad31	10	0	421
23S_1164f0205a98	1	0	0
23S_22401c546741	4	0	0
23S_1934da6f3c04	1929	0	3098
23S_13903865c72e	23593	0	37208
23S_284918b8ef8b	203142	2936	450340
23S_26544c72e33e	117	0	67
23S_1179d9f38f70	105	0	67
