SRR13825328	SRR6324886	SRR9118109
16S_2698c951a357	1	9	361
16S_234193e4add9	12	0	0
16S_1443b3ebd835	220	0	2
16S_2742027a42fc	1	0	1
23S_1183c55c78f1	94	32	1625
23S_1276fd24a271	445	1034	128111
16S_2615d9375b0f	43321	26	1485
23S_1013f7dce7d9	120	7	17
16S_1665f91163a9	596	0	196
16S_2270cb85abb9	3086	0	0
23S_238034c70513	235	4	659
23S_142969ad2088	36	0	1
23S_2182df278fe9	54	0	23
23S_227812fef2e4	79445	5	3079
16S_11598d6f7032	107	30	2146
23S_20441ff269a2	7	1	0
23S_15071e5b713a	2233	0	5079
23S_2346677404f3	813	0	17896
16S_23043a453948	26	0	935
23S_14467f6812f1	20	0	491
23S_2254845bd36d	2	0	78
23S_2714e426e80f	716186	1018	147815
16S_1969a86a4cda	49873	0	97
23S_17577395cf6e	53	0	0
16S_1194f9fb1278	1	0	1369
23S_1609cf45c89f	36542	1558	112789
16S_2015ef584f51	6	4	404
23S_290342252974	7	0	0
23S_267377207923	241	0	102
23S_293297ef27b4	160	0	1
23S_2979f5390de9	258	738	2
16S_152438a05aa7	2354	0	154
23S_21174d46d4c4	8	0	4
23S_278868bb90c7	340	369	487
23S_18365e6a2787	13	0	209
23S_1706599d05bd	1	0	0
23S_286057418701	55	0	4
23S_2633c1330a76	26	0	0
16S_28302441f82f	1449	0	409
23S_24222ddc0889	5	0	8
16S_1505d97923ee	1	0	2
23S_2440b3072b1d	3	0	0
23S_239379c9e7c2	6048	0	1367
16S_1079d1f3db41	206131	1	14081
23S_17804c39c154	2	0	1
23S_27357b4d744d	2	0	2900
23S_136398ee3e63	60	0	45
23S_110032d990e5	34	0	248
23S_124161744190	2	0	687
16S_2728c102900d	2798	28	1207
23S_1074eaf050f1	1	0	8414
16S_1364d0f16a7e	1499	6	532
16S_266321e48ff7	556	10	120
16S_2361ca8b801e	30	33	3
23S_1624a7a120a6	6	0	4275
23S_14615937af4e	4609	0	11
23S_19127b77561d	1	1	0
23S_18019fa6f73b	45461	2780	280697
23S_2107ad9fb7be	22	0	82
23S_17118ae48d61	201815	3353	331485
23S_265246dbd650	1	0	0
23S_260187eabc57	3828	0	1215
16S_2996f2c9712b	24	0	4135
16S_23947318983c	24621	2184	392357
23S_16295b286d67	2	0	10
23S_27267ddb381c	167	0	8
23S_27421464380e	344	0	748
23S_1482bd7bc19a	2607	0	1
16S_2178a97805e4	7	0	0
23S_236527d5083c	92	0	8
23S_1975291d4c08	94518	560	89009
16S_199576843411	1	0	0
23S_18254024b9cd	104724	0	0
16S_2404f0a1ac37	26	0	17
23S_1152f7a6a22a	33	0	1649
23S_1969f7b7870c	59963	24	594
23S_2092a072e017	6	0	0
23S_10919fc577ff	2	0	0
23S_16358307aa29	22984	0	29
23S_25542edb3210	39543	0	6470
16S_1018ceac0158	38551	0	4369
5S_1324eb50acfb	10	0	3
23S_1377bae8830c	57	0	2
23S_1648c1d8885a	12	0	247
23S_11354897ff78	4	0	3
16S_1343aabb8034	28	1892	120116
16S_2818a69fd848	4100	2	12
23S_1630cb32aed9	12680	26	5
23S_20568de8455e	6	0	30
23S_289420b9b0ff	2	0	0
23S_17437a3ba732	1	0	0
16S_1126db7b8e6a	51023	2348	352549
23S_2877536b385e	153	0	902
23S_246502ceef71	37	0	151
16S_26935ce7dccc	1	0	0
23S_2342e40e93f6	17537	0	1010
16S_26033e009bd5	24622	188	27434
16S_12804857057d	70	5	0
23S_2609050a39e9	94630	0	7096
23S_22695b73e8ba	26297	2	189
23S_28633e2c7232	259	1141	130595
16S_14357994d56f	7311	51	1477
23S_126094a4d3cc	3	0	0
23S_115787042ade	6	0	0
23S_1719ad08c6e8	6	0	0
23S_1803e9909161	1	0	2
23S_2047aca7cb07	153	0	902
23S_2268226c4a7f	1	0	2863
23S_1376c24f4b53	5657	2616	243575
16S_2955a9067f5b	12468	0	1854
23S_18616e558c3b	3	0	0
16S_2490a9950ade	19	39	413
16S_1718c35741d0	707	507	169
23S_1891ad3eeb0c	415	0	551
23S_2031da73160e	847	9	1412
23S_1428a9b9f723	23	0	2
16S_22687ba74273	10	0	8
16S_17309d061f4c	5868	0	149
23S_14315d8c2b63	21	0	18
16S_1428b398f5df	41490	9	4417
16S_222696423cd0	1579	0	171
23S_219764172393	157235	2	106
23S_165863e57cc9	186	1688	166381
23S_27816370e983	1	0	0
16S_157012848605	1386950	6314	507326
23S_150507ff392f	29	0	4529
23S_1357e3a7934b	191	40	383
16S_2068d5d7759b	126	0	312
23S_135493bc5120	1664	9	6
23S_2177ce596637	39	4	0
16S_25872b5e6eae	577799	3374	236007
23S_2448c6453f1a	1	0	0
23S_266539ed6442	31	3	171
23S_21420c690b78	234	0	23538
16S_1626368d41d0	1	0	331
16S_2382b2ac27ef	8484	14	7078
23S_272209d21e33	4007	19	562
23S_135253cc4cb8	29585	0	1
23S_21356fc0f679	2076	0	24
23S_13636132e05b	30216	0	1196
16S_2967bb95796c	27	0	2
23S_10225209479b	445	1034	128111
23S_1977b716e196	241	0	102
16S_18872d8084b5	7	1929	138742
16S_2887e759bb6f	1934	0	4
23S_1157bd6c97b9	21	0	17
16S_2034d8ab79a5	2	1	22
16S_21497beeb2f0	85	4	425
23S_1982fdd8bb6c	5	0	1
23S_1134b6497a8d	75637	1	7739
16S_1908080b2cea	764	0	0
16S_2024d288dac8	1320	0	0
23S_1516a18edd5f	91	0	0
16S_2702e08807f1	64	0	0
23S_20001041ed24	37	0	12
16S_169643999543	1000	0	0
16S_1251c3654311	1499	6	532
23S_14112a6c5c0a	16	0	0
23S_2221b2778ed4	27	0	0
23S_154433b62363	2	0	3
16S_204744e728a0	49838	0	562
23S_1187d62a294c	386	25	477
16S_2493b546ecf3	12	0	0
23S_2748b088db59	1	0	238
16S_22486cf5fc85	269932	15	1245
23S_108049c6e7c3	262	156	20
23S_16127f9301e0	1639	0	5
23S_2706145b88c3	240192	2913	175685
23S_24812a1bf9e9	17	0	0
23S_24614bbdd7cc	1367	0	3
23S_199936a83c42	38	2	0
16S_2856aa436f1d	36	3	763
23S_100097330616	293	350	0
16S_226672fa7561	4787	17	15
23S_2821034d30ba	6	0	490
16S_139253681b2d	128	4	0
23S_2442233948d7	137	2478	295016
23S_2767ab98cd53	1278	0	985
16S_1237ce7dbdeb	43	0	2463
23S_1280d7c16d77	1	0	4
23S_29864b0a5c2a	2	0	0
23S_2074f9eff829	9	0	7
23S_1323afbc9f6b	2865	0	8323
23S_2454f91dc16a	40	550	3
16S_101606efaea5	16	0	4
23S_2348e32d4540	36	0	625
16S_201516218133	447239	0	5452
16S_1319cb4cd403	239681	12	309
23S_1426cd4ea3fe	27	0	11508
23S_21462ba7b98a	231	1	8
16S_27635645a1e3	3	0	3440
16S_1305dac19d0e	21	1256	125475
23S_11340ed3c4a1	3680	507	13
16S_214478c6bbde	117	0	54
16S_2461cf1f2132	3	0	183
23S_2627c7d8a27b	21	0	18
23S_20709e90e0c8	6048	0	1367
23S_25956e1cfb70	397	132	424
23S_1775d68d2c33	2	0	663
23S_2053f46986af	99	0	10278
23S_1110cf32e1aa	10	0	0
23S_1431c43436da	3442	0	4390
23S_11991ea59489	174	26	4
23S_19889764b7f9	30	0	0
16S_1089ce82d6d7	1	0	1
23S_2816a560b14a	1103	0	28
23S_1580b38de429	64	1	6
16S_1858782711a1	57060	1905	94237
23S_20664f35e04e	8332	0	7515
16S_151242c6e27c	129	0	1
23S_18030b0d1181	3	0	134
16S_213235e1279c	6	0	743
23S_2687294d4ddf	27185	0	11842
16S_2151a216ebd5	73	0	122
23S_18907f221bf0	2	0	687
23S_1107d518fe81	90	5	0
23S_2505df2c6833	17650	0	941
16S_2900abccaada	35636	1450	149010
23S_10525ad16a63	18	0	11
16S_189497c50257	87	0	5
23S_1497e4011898	85	0	95
23S_2136517c221b	15	19	2
23S_1757e69a10cf	77	0	1197
23S_2272717d265e	35	0	173
16S_2544dc07acc6	44	0	135
16S_1115067c38a8	103870	6	370
23S_2445c7cc4c19	13	0	106
16S_29412d21af5f	204	0	0
23S_13236cf927e9	266636	690	74640
23S_1525691493ef	309	0	694
23S_270755bc586f	1	0	3
23S_11817f2374c0	6	0	203
23S_24941b7765b7	9	1082	108377
23S_25688c1629a3	27408	0	6
16S_1273cca4fa4e	25	6	28
23S_22096009e701	4730	1822	146722
16S_20337751d087	90992	0	9
23S_1298841f9876	36003	0	148
23S_2016488d7650	8	788	62321
23S_14989879887e	780	0	114
23S_27654b24cddb	985	0	995
16S_1178066f0f17	220	0	1841
23S_27404cc96ad5	1	9	1610
16S_169826ba84cc	9	0	175
16S_1248743f082d	13	0	17
23S_29152b7d9725	1	1589	236318
23S_2953c425db33	16	0	43224
23S_2090ce4de734	19967	107	1974
16S_2106c761e4aa	3	0	135
23S_2191e1dcab79	266	0	950
23S_1776dc1d3fa7	9	1082	108088
23S_1553429fdd6d	14	1	2
16S_2237061fdf48	14	0	216
23S_204454a76287	13	5	1
23S_163497c38853	27	0	11508
16S_1120ce28f8d7	32	713	64990
23S_2125a9c03d41	1415	0	629
16S_135670919b51	904582	4953	165944
16S_25766a6c49d9	27227	6	15639
23S_21413881fe08	19	0	19
16S_29081ec8d9c1	28544	0	10
23S_136511f7adaa	1	4	0
16S_1200912157c8	2	0	0
23S_1334f5b85ace	7	0	2620
16S_252777d19e3c	42333	6	405
23S_2271d0e970a1	4	0	209
23S_1309b9698fd6	47	0	4134
23S_200593500811	544	4	16
16S_1702cbd1eb81	446	19	0
23S_132214644621	2	0	165
23S_248015e2cdc0	6	0	11
23S_187412cc2305	57	1	5756
23S_2094ee3059bf	1147	0	704
23S_21696f1d2596	20	0	10
23S_27130e00c568	916	9	2679
16S_24846b5b6ab7	1	0	1752
23S_2693d51db5e9	31	0	238
23S_1201e154ed11	2	0	2764
23S_23863782871a	2	0	0
16S_2686bcade229	17175	0	190
23S_156017183fe6	2	0	0
23S_23507c5d5f16	76746	11	21725
16S_2730ff0f4723	2	5	1434
16S_1122fcdf4109	52	0	1142
23S_11363f63b831	120	0	0
16S_186731a62902	11	2	13
23S_18188cc95f3c	29	0	2
23S_1313e8211c68	20	0	12
23S_112582de22bb	5	0	0
23S_2716b410ce14	9	0	1221
16S_2537ebf243f0	296	0	41
23S_29005aa1e214	30379	0	6
23S_2193c998763f	2398	0	750
16S_2765894584ea	1609	13	13
16S_26608abf37af	39860	0	732
23S_162624730004	43425	0	3759
23S_19757f47f96d	15	0	0
23S_2546ae769cda	26	0	0
23S_2183532e576e	1	1	0
23S_2801ffea9a25	211	7	321
16S_273616e02ffb	5	1	420
23S_114700937ecc	19	0	62
23S_25292f623eb5	2554	0	1309
23S_127703d700b9	90	13	638
23S_133311c15b74	550	0	17
23S_1755cbca9caf	123	0	2509
23S_1651dcc48f59	17687	0	963
23S_256423cafa8c	49	0	37
16S_131071528256	8	0	0
23S_1999403a9b7d	21	0	0
23S_11133c120166	1113	0	18232
23S_28891d9b1c58	6	0	0
16S_276622a91381	45022	2170	316694
23S_100889298f97	13	0	75
16S_20317d0f8923	2	0	0
23S_265598035485	191	0	385
23S_2255217997fa	40	0	5879
23S_1375262028dc	12	0	0
23S_2875ee021a35	14	17	48
23S_2351d312855b	13	0	326
16S_2468b4444493	45714	0	2046
23S_2870f50303d2	7	0	18
23S_2253d0fa3ab9	7	0	67
23S_240058478513	92456	598	75658
16S_255733a1e7f5	264	437	84
16S_1994cd743a2f	103	12	2
16S_121125e1e24b	95203	20	445
16S_254649a7b8b6	3	0	128
16S_191199cb206e	36	0	3389
23S_17393dbb1ef7	2365	0	4727
23S_2635df9f1b78	162	0	1087
23S_15181fe054f8	14	0	187
23S_2774d2d70471	26	0	775
23S_2372182184e7	156870	0	12471
16S_259831912001	35	0	4165
23S_1075c33914cd	248	0	939
23S_2953080e7783	7540	29	1425
23S_1011ac0cb535	1	0	1
23S_13065ddceb44	33	0	2
23S_22325d4793c8	2	0	1
16S_1701a7f28dfa	28544	0	10
23S_1792416082b8	1782	0	339
16S_19977dfa45a0	1	0	0
5S_2661795d46c4	2	4	1
16S_11397e226c89	1	0	0
16S_19363bc2c6e3	287983	47	2988
23S_2151066c0370	2554	0	1309
16S_1982175c8352	59	0	5
23S_283209357089	67	0	148
23S_2129fa421629	24	0	117
16S_1274bd7469d7	4	0	0
23S_1727be1dbc22	8	6	4
16S_1541a728a635	19	0	33
23S_232171e17021	3	0	2265
23S_1527c8326be9	6227	0	940
23S_15884e91d902	356	0	529
16S_12414b32afca	9930	0	235
16S_11872b26a518	3	0	4327
16S_2495d8ff7dd4	13	0	8
5S_17651e923f76	4	0	34
16S_19672754ad6f	85	4	425
23S_14634f7dc542	962	2122	171869
23S_27795c38688b	52715	1076	120614
23S_2964c24d049d	1	0	0
23S_197966cab970	8142	1816	108478
16S_182385cd3552	224	22	22
23S_2143fbe7de5f	82	0	0
23S_2168eb435e91	3	0	0
23S_1723d680704b	146	0	4560
23S_2217b8c9349a	22984	0	29
23S_1225018c6b06	53	0	113
23S_2786f8f022f5	306	1	97
23S_1018ed873e17	1175	0	954
23S_284569972710	77386	6	8604
23S_2132991a8403	4	0	0
23S_103463fc1b46	1730	0	982
23S_282117209593	49	0	2
16S_1417aa7d76bf	38	0	636
23S_1371a3a0a50b	1848	4	112
23S_15243b5acd51	3	0	1
23S_2468124679bb	4599	0	5637
23S_2302954eb671	450	498	13
23S_21088d157d66	222	2421	260796
23S_190648977c34	3	0	0
23S_1100009f388b	1	0	1072
23S_29855d153c16	2	0	2173
16S_2498ac68a133	641	171	135
23S_1710e957d93f	625	0	478
16S_100296006956	31	2	7
23S_12950f8f346f	1278	0	985
23S_268766fdd70b	14	0	69
23S_16758001f6bb	1641	0	321
23S_11552cb60b21	15	0	36
23S_15028cffc4c9	1391	0	0
16S_2663db66d0b0	51532	0	558
23S_225886cd0225	2	4	3
16S_290927228641	194625	53	2057
23S_2688f0b97e8a	1	0	0
23S_283303f1af0b	51	0	0
23S_26905855e53b	11	0	251
16S_1338b37d46da	17	0	163
16S_29907ca7a90a	87054	19	1287
16S_1523d1e1d43a	10	0	0
16S_1041274ce8b3	7530	1929	114548
16S_2920f8fc7b6a	23	0	119
23S_206058362e60	262	0	176
23S_2009320c7a85	56	0	21
16S_2945e7245bf3	261	3	4173
23S_2936a0cbe09a	16	0	141
23S_200838f4cec7	1	0	63
16S_271924aa5d69	36	64	456
23S_281770fe7dac	628	6	132
23S_14465fa431e3	13043	0	2
16S_105093de36a9	7311	51	1477
23S_28681a429af0	345	0	99
16S_119289af4b44	2965	0	150
23S_108254cd18cb	26	0	10731
23S_15963fb55b2c	164539	74	17845
16S_172772b8b125	522	336	282
23S_28681e0500bb	5587	0	65
23S_155269eca772	19	0	700
16S_216626c093d7	707	507	169
16S_18846c9bd187	100	1094	157945
5S_273658a6dafa	3	0	0
23S_2931f29a2de4	4809	0	2868
23S_200823fdce10	407	4	873
23S_187013a790f2	15	0	9013
23S_1455a2016931	60	6	4
23S_12735294938f	20	0	8890
16S_1890d31db4a0	91	0	0
23S_136539782e5b	4586	15	822
23S_1799aa760fd2	58	1604	236172
23S_17506ee76c5b	14	8	5
23S_27019ba5c6ec	17	0	0
23S_143567a5c3d8	5	0	2
16S_23723ff04b8d	47	36	766
23S_1667853e7eb1	108798	11	22
23S_2842f12d42dc	354	0	206
23S_2617047f426a	13	2	12
23S_2546c782c91b	19978	0	11247
23S_2020b8cbd00a	2	3	158
5S_1415d3dd9074	36	0	43
23S_2724ff663083	16	0	0
23S_2307287818c7	25	0	24326
23S_1016e207e107	542	0	4
23S_25578a5d70d1	50	0	1
16S_2081ea93aa1a	7	0	13
23S_19808d7eaaf3	160	0	985
16S_2165798ebc29	3	0	11
23S_1332e95c5b85	65	0	0
23S_2436969f4697	87	23	1
16S_108464343560	1	0	0
23S_21847ed4c913	2	0	1962
23S_26074e400961	306	1	97
23S_1646061a60a7	893	0	6220
23S_278490d0b717	2	0	5125
16S_13489d3333aa	38331	0	5
23S_2766ee43a586	318	21	5
23S_130669c090ec	29811	1	490
23S_2360d7aa760c	3976	0	1210
16S_12303051d1fd	3663	17	7787
23S_285930c3a534	673	3	1002
23S_2472916f8a18	1109	0	18284
16S_2279d0e9fd87	3165	13	208
23S_24770a6a70ac	21375	4	1590
23S_13491151a105	144	0	4567
23S_248698f0f075	3	0	27
23S_102919d36bf6	6	0	1
23S_16704478642d	8882	0	31
16S_2514996496b2	167944	76	1259
23S_15536dda24ad	32166	0	48
16S_22776310bbce	1579	0	171
23S_152681b018da	3	0	39
23S_2869a1bfa69b	1674	0	714
23S_21756381ba7f	23	0	236
23S_11744e0728bc	583	0	111
23S_28181486ba6b	13	3	1934
23S_2188ef4d0ca0	37	0	1
16S_27060d01cf17	2324	0	391
23S_1864d78c5b07	1	0	0
23S_2377aeb780b3	20	0	12
23S_13405427ab45	5	0	0
23S_16541a54e679	4	0	0
23S_1899aaac6a49	92456	598	75658
23S_1006609a892f	230	8	1285
23S_13064360dc96	48	9	0
23S_268665dc1422	4660	1545	186998
23S_1493f0d37547	3	0	0
23S_1523e8a9b7e0	18736	2	2384
23S_137834030d3b	2	0	4
16S_15789cb12163	49	5	19
23S_1758865ba953	22	1	0
23S_2206f0bc7d08	1683	0	252
16S_1034aea7d6df	138673	1129	122804
23S_1642843e4106	13	0	1
23S_2708c00c1dfd	29811	1	490
23S_21577eca4a6b	8636	0	9
23S_2175ed9f2627	267	742	6
23S_27732cdea48f	23	0	45
23S_2527e2d29502	557	0	1
16S_2633fe3788bb	29	0	3
23S_237145dbf15b	156870	0	12471
23S_1247c08c397f	1	0	3611
23S_2862c1793b36	10	0	0
16S_200297f6ad38	76	1932	179857
23S_24740222d3e6	194206	0	7823
16S_280156cba6f8	5184	0	192
16S_1637fb132897	87	0	108
23S_152621833d65	1292	0	275
23S_2154f5262d77	193	15	1128
23S_243319619667	101	0	2728
23S_1966eef4fa01	42475	0	60
16S_11161d2bf0cd	27	3	0
23S_2007a82af905	17	8	40
23S_2223f733c417	82450	28	1155
23S_13208aa869aa	673	3	1002
16S_10506fb833db	388588	0	10
16S_1788deeceda8	89	0	1621
23S_1341be57cd0c	2	0	0
16S_177572408c6c	3196	0	0
16S_1758d9c406d5	73778	0	8357
23S_29538b265e8d	2607	0	1
23S_2027587ec548	46681	1371	135601
16S_15430465ff6d	1003879	30	9639
23S_101805496cf1	53	7	955
16S_1442df2fd21e	4	0	0
23S_1144944c11cc	891	0	12
16S_23234a3cdd66	2765	0	4980
23S_2202f88f15bb	2101	0	24
23S_2313077c9077	2273	12	930
16S_2796b53ba03e	49	0	887
23S_28757ee58975	14	0	187
16S_29154c95f48a	7	9	0
16S_2546c406e352	9	0	6
16S_2454cb0f8ec6	2869	0	458
23S_2673c8de554b	5	0	10268
16S_1229b0b09482	21533	0	10
23S_1954fd4cfaa4	1	0	0
23S_111410934611	86155	5093	458253
23S_2459fb876110	4312	3	4373
16S_1400d3a8d7ad	1	0	50
23S_2868d1b07b6c	102	0	21
23S_20969238fc9d	14	0	24
23S_26251857c198	36	0	4216
23S_1177156e3159	1	0	0
23S_2377a059068d	271	2	539
5S_2211895fd016	3	0	0
23S_2467af52176e	33	1935	161953
23S_2358c6064c96	1	0	0
16S_1901b3098175	7	0	13
16S_29012a926a4c	4	0	0
23S_29413fa96241	30	0	1047
16S_1804907ce287	39628	0	177
23S_133696783bd2	17629	0	532
23S_2348b6228b52	18736	2	2384
16S_178819e74211	8747	0	95
16S_1669b2e8e594	57	0	1552
16S_2276e3bfd2fc	22	0	3
23S_25465c3fcb5d	22	2	20
16S_13510b2049b8	247	0	323
23S_1234344c3f5b	12173	94	1849
23S_15641791f64f	21	0	18
16S_16483a143d8c	6	0	0
23S_127565c39c1a	1	0	0
16S_2053cfde0fc6	249	0	88
23S_1308f8cc0303	947	4	4021
23S_1744820d8d50	155	0	25875
16S_160326c935e6	14	2	211
23S_290069355a99	33	0	0
16S_2652181190d7	447239	0	5452
23S_16622bc5a79d	2	0	0
23S_1061d7004a59	41	0	5593
23S_13460fc82675	115966	1	153
23S_1572c0a40d78	51	0	0
16S_1437d0832061	29158	0	1450
23S_1059a0930609	38	5	5
23S_112196180062	167	0	14
23S_2904226d48f6	1	0	26
16S_280850b5a139	13	6	2
23S_22806d9a9396	151	0	2
23S_1893cfe2174d	8	0	1944
23S_2004ebb172be	8	1077	113145
23S_2669d361175d	1	0	0
16S_14672dc1a877	883179	4560	159010
16S_1609355a29f2	64	0	0
23S_138301eed747	2363	11	127
23S_1049b977f03a	2052	15	983
23S_1277ff674c65	248	0	759
23S_1462a73e4271	8	4	303
23S_2986c19cb961	1	1	15
5S_236631e97e39	2	0	129
23S_2391a1a158c3	34	0	23415
23S_21198bab78a9	194	8	2
23S_2621fbe3c730	5548	0	1342
23S_2342e81ba76a	639	0	0
16S_2761647fa31c	58	1147	78943
23S_217534783bd7	1	0	2
16S_1092d4dd0a07	395834	1662	335027
16S_21569a843ea8	123	1	1
23S_12262e655d1a	2667	0	104
23S_240306def2ad	220	45	1
16S_2751065075fb	42637	12	309
16S_2201381cbd23	444	2011	160658
16S_2363c6f214fb	133	0	26
23S_1708e3894182	28	0	4938
23S_2886b9810344	3	0	2
23S_117511e5e7bb	119	20	28
23S_1955ee08b5b9	48	3706	409723
23S_2945407d339d	112	0	139
16S_15405554f679	145	2	0
23S_2087633b0c31	2	0	0
23S_293319ab9c18	6	0	203
23S_170742124b8d	2058	0	5412
23S_2121e6ffd7e5	1	0	26
23S_2980aa4330c6	41512	2	529
23S_22769c7ff900	3	0	0
23S_23360ec54659	253	13	28
16S_162875ea1f44	115	1	69
23S_2933544ad617	34	0	45
16S_27553465c1df	50	16	8
23S_1896569058ed	201251	1248	108514
23S_1715f57f96d4	34	1921	162468
23S_1440029d5be4	9015	3786	229739
23S_1702934aaf82	3321	0	5915
23S_2095cfcd2575	57891	0	139
23S_1668c9da77ec	28	1830	160502
23S_2517a97b4d95	84	0	8
23S_2389233a74b1	271	2	539
23S_2694d51942f2	2	7	556
16S_1638e3084632	2	0	0
23S_1734ac091218	37	0	11
23S_10176be9924f	8	4	1
23S_1102d9f5abf2	1664	9	6
16S_20115e8c8f4e	1	2	1167
16S_1315f4165706	85	4	425
23S_2228d0268aa7	410	0	997
23S_15084e9f93a4	17	1856	135668
23S_20601256c13a	64	0	2157
23S_134105899385	31	0	8758
23S_1863040b5d90	9	0	10
16S_26506d17b00b	1	0	3
23S_28884640d430	7	0	491
23S_2933c0529212	926	0	890
16S_2066e98a00cf	2684	0	8
23S_2602950972bb	167460	24	20772
16S_15323840385e	234583	9	880
23S_266628b908ee	212	0	249
23S_191947ddfe2d	2772	198	1375
23S_2404ba7b0f31	37890	0	1
23S_2654ad2c8e92	22	0	7
23S_2507d8630423	2	0	3
23S_26722244001f	258	23	2
16S_1571fef921c4	6408	44	454
23S_2014a387b170	18	0	1
23S_2344b00cd682	1	0	1
23S_23957bbb9de6	2032	0	44
23S_117198f99410	114	12	112
23S_2687cada77f4	204	0	1118
23S_19069a016042	6775	30	2288
16S_20489552ff9c	749866	4072	423985
23S_2338425f905c	39	2	0
23S_26126fa64447	1	0	0
23S_21480f44c9f8	12	0	43
23S_1044f14feb28	2	0	15
23S_18657505ad6d	2	0	1
16S_162639ad04f5	14	0	0
23S_1824305857d9	7	0	16
16S_2031fd935e54	5821	1564	131496
23S_2092b195ffb4	59	0	362
23S_28289532cd49	8	0	395
23S_2845e4c5fbf7	4	14	6
23S_1467ecdfbd24	1	0	0
23S_2116dd8b93b3	410	0	997
16S_15764bdcae59	6	1151	103420
23S_2536d36c617d	3	0	0
23S_15140b07e3a9	3	0	329
23S_11559e080be5	40252	1	1042
23S_11581c87ae4d	306	25	884
23S_1041acd609fe	70	0	0
23S_2729799b9c97	533	0	16
16S_1405c957776d	2	0	828
16S_293095a1433a	11068	1841	96385
23S_203634a0f88c	139	10	2895
16S_2731431fa402	1	0	699
23S_14488feb398b	170	17	1087
23S_1982703f44b2	1295	1	18
23S_1287b82649e4	7	0	375
16S_2674c58068ec	98	0	943
23S_14507a2af85c	1674	0	714
23S_1304e0c23a68	38	0	3332
23S_1239882bacf5	27	0	0
16S_209870c42937	16685	0	70
16S_29659cc9ec03	182	13	1
23S_23435fbe797b	15	0	36
23S_1561d708e76f	70	0	0
16S_1659303e5641	3333	0	385
16S_11948067dc7b	12	0	0
23S_1184c4565106	2	0	5
16S_2431fa0f0613	264	437	84
23S_208083ed0c66	220	7	889
23S_240120f566b5	22	1	0
23S_1942f629d650	617	15	13
23S_176899c5a616	38	1933	162816
23S_19136f7dfc81	194	8	2
16S_12050c5cc2f9	2	0	0
16S_2079dc72d012	13	0	0
23S_1464dd774668	13	0	185
16S_2132bfbe5468	148466	0	10
16S_11508c746aab	344	7	3
23S_20161fa6a2db	63	0	20
23S_1557bb8b5e6b	4	0	417
23S_1565042d373c	152	0	32
23S_185651c76801	96	1	620
23S_17637c2fe982	8	0	0
16S_1952502eee42	5586	0	724
16S_2400b40533e6	14580	2007	316041
23S_26878d6e0730	5038	926	131186
23S_2366c091aa3f	44	0	0
23S_1710eb2add91	121	0	1810
23S_2599f846af4e	2	2	0
23S_1661bb19687f	2	0	663
23S_2961266240e7	66	0	204
23S_1410470a1139	76746	11	21725
23S_183849692a9f	13	0	0
16S_11000d71c780	7	0	412
23S_24079729430e	14	0	1470
23S_24132dbe8fa9	265	13	0
16S_2885c79bd58c	1	0	0
16S_11033a226705	15	2	0
23S_25298f57d94c	205	0	28
23S_1800e485f9ea	311725	1999	229232
23S_25923d84a382	3113	0	17
16S_2486daf8d6f7	236	3	456
23S_274310a0dc84	1	0	0
23S_13729791afe3	3068	0	11090
23S_1864694b967d	92456	598	75658
23S_264010408bfe	32	0	66
23S_15287ea75054	1	0	2
16S_24304bc8a637	1	0	0
16S_25799632699b	142	0	47
23S_16168b45d971	65	0	0
16S_2244689b73d1	17	0	272
23S_1915e19558f7	54	0	22
16S_25028bfd0ae2	13087	0	49
23S_272400ee5312	1	0	0
16S_24431b9f9976	1493	0	27
23S_1283292c5baf	53	0	8364
16S_28845f383bad	28	0	103
23S_14186a543176	1	0	106
23S_1509bf672abb	253	13	28
16S_2689ef4f91b9	48459	78	868
23S_2882fd473504	25	0	24326
23S_1036abac4f4d	651	29	10
23S_259605f360fb	1	0	24
16S_2622e5f6160c	12	0	2
23S_2688910f19ff	2136	0	1704
23S_1060e479b065	459	0	37
23S_1394f73e8694	5	0	7
23S_1149f386b9bd	17629	0	532
16S_2525947fe041	129	0	6587
23S_29698be74c16	3	0	0
23S_2199cb22ce2e	92	5	0
23S_1845a801f018	319	392	285
23S_2372eb39a98e	191	2	4
23S_2188e4858faf	23	0	3
16S_22572f0c8193	62	0	10146
16S_1466ddad695f	88413	0	401
16S_1896f3790c8a	31	0	6
23S_2301f2d842fe	1	0	69
23S_197012515432	32	13	44
23S_1381dd0f0a61	1225	8	777
23S_20413c125c69	914	2079	175214
23S_2417a48cadaa	42602	3404	506258
23S_11159f02aff2	111	119	40842
16S_1178eb636f45	27	0	0
23S_1770547c216d	17	0	6855
23S_103089aab063	937	793	1853
23S_11517aa75645	117	0	23
16S_220776e7167d	419	0	10
23S_1718146ee1fc	557613	5030	349575
23S_15159c2511b7	1	0	3103
23S_2853edc0d86d	1	0	10
16S_2551a7d845a3	2	0	0
16S_18320353d8b2	7394	2316	184776
5S_185356228cc7	16	0	4
16S_13330ba69e00	3	0	0
23S_29604fe4db3a	2	0	0
16S_167175de0559	1	0	0
23S_1267af68272e	18	0	1
23S_2745e4dd2c48	6437	2	6481
16S_229380a4ee9e	9	0	1
16S_1254d35b7e97	42637	12	309
23S_1042b15c9206	1	0	2
23S_240727ec7e6d	537	0	1612
23S_27577e8badd6	314	0	0
